product_id,product_name,category,subcategory,brand,unit_size,mrp,cost_price,perishable_flag,temperature_zone,shelf_life_days,supplier_id,active_flag
PRD0028,NovaHome Fresh Vegetables 028,Fruits & Vegetables,Fresh Vegetables,FreshBasket,Pack of 4,61.54,37.58,Y,Ambient,8,SUP037,Y
PRD0029,HappyPaws Dishwashing 029,Household Care,Dishwashing,SnackSquare,1 L,119.19,91.63,N,Ambient,556,SUP007,Y
PRD0030,HappyPaws Laundry 030,Household Care,Laundry,QuickChoice,1 kg,75.49,55.32,N,Ambient,630,SUP016,Y
PRD0031,UrbanHarvest Eggs 031,Dairy & Breakfast,Eggs,PrimePantry,Pack of 2,143.38,105.86,Y,Chilled,20,SUP019,Y
PRD0032,PureDrop Frozen Snacks 032,Frozen Food,Frozen Snacks,GoodGrain,500 g,597.79,378.07,Y,Frozen,231,SUP018,Y
PRD0033,CareBloom Bath & Body 033,Personal Care,Bath & Body,QuickChoice,500 ml,231.15,176.33,N,Ambient,695,SUP004,Y
PRD0034,PrimePantry Curd & Yogurt 034,Dairy & Breakfast,Curd & Yogurt,NovaHome,1 kg,28.45,23.23,Y,Chilled,11,SUP004,Y
PRD0035,HomeEase Mobile Accessories 035,Electronics & Accessories,Mobile Accessories,DailyNest,500 g,496.34,283.42,N,Ambient,532,SUP011,Y
PRD0036,PureDrop Juices 036,Snacks & Beverages,Juices,CareBloom,100 g,91.94,69.25,N,Ambient,110,SUP043,Y
PRD0037,HappyPaws Bath & Body 037,Personal Care,Bath & Body,HomeEase,1 unit,494.79,305.49,N,Ambient,396,SUP043,Y
PRD0038,FreshBasket Skin Care 038,Personal Care,Skin Care,UrbanHarvest,500 ml,32.07,18.34,N,Ambient,876,SUP021,Y
PRD0039,UrbanHarvest Biscuits 039,Snacks & Beverages,Biscuits,UrbanHarvest,Pack of 4,421.15,269.4,N,Ambient,259,SUP036,Y
PRD0040,UrbanHarvest Fresh Vegetables 040,Fruits & Vegetables,Fresh Vegetables,DailyNest,200 g,128.66,83.35,Y,Ambient,5,SUP045,Y
PRD0041,PrimePantry Leafy Vegetables 041,Fruits & Vegetables,Leafy Vegetables,HappyPaws,1 kg,52.4,36.61,Y,Ambient,4,SUP011,Y
PRD0042,HomeEase Fresh Vegetables 042,Fruits & Vegetables,Fresh Vegetables,QuickChoice,Pack of 4,54.27,34.24,Y,Ambient,3,SUP007,Y
PRD0043,SnackSquare Biscuits 043,Snacks & Beverages,Biscuits,QuickChoice,1 L,16.99,11.62,N,Ambient,171,SUP028,Y
PRD0044,PrimePantry Skin Care 044,Personal Care,Skin Care,UrbanHarvest,1 unit,544.92,442.64,N,Ambient,260,SUP035,Y
PRD0045,PureDrop Soft Drinks 045,Snacks & Beverages,Soft Drinks,FreshBasket,500 ml,241.81,156.99,N,Ambient,252,SUP036,Y
PRD0046,QuickChoice Soft Drinks 046,Snacks & Beverages,Soft Drinks,HomeEase,1 unit,472.65,365.52,N,Ambient,255,SUP035,Y
PRD0047,GoodGrain Baby Food 047,Baby Care,Baby Food,PrimePantry,1 L,340.4,216.78,N,Ambient,496,SUP002,Y
PRD0048,CareBloom Dog Food 048,Pet Care,Dog Food,DailyNest,1 kg,581.26,377.47,N,Ambient,592,SUP015,Y
PRD0049,NovaHome Mobile Accessories 049,Electronics & Accessories,Mobile Accessories,HappyPaws,500 ml,94.95,63.3,N,Ambient,829,SUP007,Y
PRD0050,UrbanHarvest Milk 050,Dairy & Breakfast,Milk,FreshBasket,Pack of 4,81.34,53.48,Y,Chilled,21,SUP037,Y
PRD0051,GoodGrain Milk 051,Dairy & Breakfast,Milk,PrimePantry,Pack of 4,172.71,137.59,Y,Chilled,27,SUP009,Y
PRD0052,FreshBasket Chips & Namkeen 052,Snacks & Beverages,Chips & Namkeen,DailyNest,Pack of 2,18.32,10.25,N,Ambient,211,SUP037,Y
PRD0053,PrimePantry Soft Drinks 053,Snacks & Beverages,Soft Drinks,SnackSquare,200 g,29.07,18.38,N,Ambient,282,SUP019,Y
PRD0054,PrimePantry Oral Care 054,Personal Care,Oral Care,SnackSquare,200 g,236.09,141.01,N,Ambient,412,SUP027,Y
PRD0055,GoodGrain Leafy Vegetables 055,Fruits & Vegetables,Leafy Vegetables,SnackSquare,200 g,48.84,29.34,Y,Ambient,9,SUP048,Y
PRD0056,HomeEase Small Appliances 056,Electronics & Accessories,Small Appliances,QuickChoice,500 ml,818.77,533.72,N,Ambient,1453,SUP017,Y
PRD0057,HappyPaws Oral Care 057,Personal Care,Oral Care,SnackSquare,250 g,711.4,544.53,N,Ambient,843,SUP031,Y
PRD0058,SnackSquare Batteries 058,Electronics & Accessories,Batteries,CareBloom,200 g,570.73,376.9,N,Ambient,1185,SUP038,Y
PRD0059,SnackSquare Soft Drinks 059,Snacks & Beverages,Soft Drinks,DailyNest,500 g,27.76,18.37,N,Ambient,308,SUP016,Y
PRD0060,PrimePantry Juices 060,Snacks & Beverages,Juices,NovaHome,100 g,10.21,6.37,N,Ambient,253,SUP014,Y
PRD0061,DailyNest Cooking Oil 061,Staples,Cooking Oil,HappyPaws,1 unit,39.08,28.83,N,Ambient,494,SUP009,Y
PRD0062,DailyNest Surface Cleaners 062,Household Care,Surface Cleaners,SnackSquare,200 g,84.26,51.68,N,Ambient,839,SUP034,Y
PRD0063,FreshBasket Curd & Yogurt 063,Dairy & Breakfast,Curd & Yogurt,HomeEase,Pack of 2,109.0,66.36,Y,Chilled,14,SUP045,Y
PRD0064,SnackSquare Pet Hygiene 064,Pet Care,Pet Hygiene,HappyPaws,250 g,353.52,222.34,N,Ambient,230,SUP017,Y
PRD0065,QuickChoice Laundry 065,Household Care,Laundry,PrimePantry,250 g,754.45,419.57,N,Ambient,818,SUP024,Y
PRD0066,HomeEase Curd & Yogurt 066,Dairy & Breakfast,Curd & Yogurt,HomeEase,Pack of 2,68.31,50.66,Y,Chilled,4,SUP030,Y
PRD0067,SnackSquare Dishwashing 067,Household Care,Dishwashing,NovaHome,Pack of 4,648.49,523.72,N,Ambient,826,SUP020,Y
PRD0068,PrimePantry Fresh Fruits 068,Fruits & Vegetables,Fresh Fruits,UrbanHarvest,250 g,71.52,46.91,Y,Ambient,7,SUP043,Y
PRD0069,PureDrop Baby Hygiene 069,Baby Care,Baby Hygiene,GoodGrain,100 g,396.35,322.4,N,Ambient,489,SUP041,Y
PRD0070,QuickChoice Small Appliances 070,Electronics & Accessories,Small Appliances,NovaHome,1 L,1766.58,1119.85,N,Ambient,1111,SUP028,Y
PRD0071,SnackSquare Baby Food 071,Baby Care,Baby Food,GoodGrain,1 unit,1251.96,980.54,N,Ambient,603,SUP025,Y
PRD0072,GoodGrain Spices 072,Staples,Spices,HappyPaws,1 L,269.23,148.68,N,Ambient,112,SUP012,Y
PRD0073,UrbanHarvest Fresh Fruits 073,Fruits & Vegetables,Fresh Fruits,CareBloom,250 g,255.46,205.94,Y,Ambient,5,SUP050,Y
PRD0074,QuickChoice Eggs 074,Dairy & Breakfast,Eggs,NovaHome,1 unit,346.34,196.66,Y,Chilled,18,SUP012,Y
PRD0075,FreshBasket Soft Drinks 075,Snacks & Beverages,Soft Drinks,GoodGrain,500 g,90.35,50.9,N,Ambient,107,SUP020,Y
PRD0076,HomeEase Flour 076,Staples,Flour,NovaHome,250 g,686.67,389.46,N,Ambient,458,SUP008,Y
PRD0077,SnackSquare Curd & Yogurt 077,Dairy & Breakfast,Curd & Yogurt,PrimePantry,Pack of 2,127.72,99.22,Y,Chilled,8,SUP001,Y
PRD0078,QuickChoice Mobile Accessories 078,Electronics & Accessories,Mobile Accessories,FreshBasket,1 unit,268.4,217.36,N,Ambient,1254,SUP003,Y
PRD0079,PrimePantry Milk 079,Dairy & Breakfast,Milk,PureDrop,200 g,153.41,113.96,Y,Chilled,24,SUP011,Y
PRD0080,HappyPaws Bath & Body 080,Personal Care,Bath & Body,HomeEase,500 g,166.33,129.25,N,Ambient,572,SUP046,Y
PRD0081,CareBloom Leafy Vegetables 081,Fruits & Vegetables,Leafy Vegetables,QuickChoice,Pack of 2,144.71,86.19,Y,Ambient,5,SUP021,Y
PRD0082,FreshBasket Leafy Vegetables 082,Fruits & Vegetables,Leafy Vegetables,CareBloom,500 g,108.66,83.31,Y,Ambient,10,SUP023,Y
PRD0083,NovaHome Bath & Body 083,Personal Care,Bath & Body,CareBloom,250 g,136.12,93.1,N,Ambient,649,SUP012,Y
PRD0084,GoodGrain Fresh Vegetables 084,Fruits & Vegetables,Fresh Vegetables,UrbanHarvest,250 g,271.09,208.84,Y,Ambient,10,SUP048,Y
PRD0085,PrimePantry Fresh Vegetables 085,Fruits & Vegetables,Fresh Vegetables,CareBloom,200 g,68.49,48.98,Y,Ambient,9,SUP001,Y
PRD0086,FreshBasket Baby Food 086,Baby Care,Baby Food,PrimePantry,500 g,198.85,110.31,N,Ambient,566,SUP038,Y
PRD0087,FreshBasket Pet Hygiene 087,Pet Care,Pet Hygiene,PrimePantry,500 g,171.98,137.27,N,Ambient,456,SUP022,Y
PRD0088,HappyPaws Batteries 088,Electronics & Accessories,Batteries,UrbanHarvest,Pack of 2,113.27,80.57,N,Ambient,482,SUP017,Y
PRD0089,UrbanHarvest Soft Drinks 089,Snacks & Beverages,Soft Drinks,UrbanHarvest,200 g,60.36,39.27,N,Ambient,322,SUP025,Y
PRD0090,PureDrop Small Appliances 090,Electronics & Accessories,Small Appliances,FreshBasket,500 ml,174.98,98.89,N,Ambient,951,SUP005,Y
PRD0091,PrimePantry Juices 091,Snacks & Beverages,Juices,NovaHome,100 g,10.25,8.0,N,Ambient,100,SUP001,Y
PRD0092,FreshBasket Frozen Vegetables 092,Frozen Food,Frozen Vegetables,CareBloom,1 unit,201.81,146.99,Y,Frozen,129,SUP026,Y
PRD0093,QuickChoice Chips & Namkeen 093,Snacks & Beverages,Chips & Namkeen,HappyPaws,200 g,56.61,35.19,N,Ambient,310,SUP003,Y
PRD0094,FreshBasket Baby Food 094,Baby Care,Baby Food,PrimePantry,Pack of 2,107.74,74.0,N,Ambient,229,SUP003,Y
PRD0095,SnackSquare Pulses 095,Staples,Pulses,PureDrop,500 ml,59.74,40.05,N,Ambient,312,SUP024,Y
PRD0096,NovaHome Milk 096,Dairy & Breakfast,Milk,GoodGrain,Pack of 4,202.7,122.86,Y,Chilled,18,SUP027,Y
PRD0097,QuickChoice Chips & Namkeen 097,Snacks & Beverages,Chips & Namkeen,GoodGrain,100 g,119.03,74.95,N,Ambient,279,SUP033,Y
PRD0098,PureDrop Diapers 098,Baby Care,Diapers,DailyNest,Pack of 2,605.32,422.45,N,Ambient,717,SUP013,Y
PRD0099,SnackSquare Hair Care 099,Personal Care,Hair Care,NovaHome,1 unit,130.91,83.38,N,Ambient,697,SUP036,Y
PRD0100,NovaHome Batteries 100,Electronics & Accessories,Batteries,GoodGrain,Pack of 4,675.05,530.72,N,Ambient,405,SUP020,Y
PRD0101,HappyPaws Eggs 101,Dairy & Breakfast,Eggs,CareBloom,100 g,170.53,127.66,Y,Chilled,9,SUP005,Y
PRD0102,QuickChoice Spices 102,Staples,Spices,FreshBasket,250 g,280.06,202.3,N,Ambient,246,SUP013,Y
PRD0103,PureDrop Fresh Vegetables 103,Fruits & Vegetables,Fresh Vegetables,GoodGrain,Pack of 2,105.06,60.52,Y,Ambient,4,SUP049,Y
PRD0104,GoodGrain Eggs 104,Dairy & Breakfast,Eggs,PrimePantry,500 ml,84.5,49.77,Y,Chilled,12,SUP023,Y
PRD0105,NovaHome Diapers 105,Baby Care,Diapers,PrimePantry,250 g,217.96,126.22,N,Ambient,644,SUP027,Y
PRD0106,SnackSquare Baby Food 106,Baby Care,Baby Food,PureDrop,200 g,287.88,159.83,N,Ambient,316,SUP017,Y
PRD0107,NovaHome Sugar & Salt 107,Staples,Sugar & Salt,CareBloom,500 g,100.65,72.59,N,Ambient,466,SUP045,Y
PRD0108,PrimePantry Small Appliances 108,Electronics & Accessories,Small Appliances,HomeEase,1 kg,252.34,178.07,N,Ambient,923,SUP001,Y
PRD0109,HappyPaws Laundry 109,Household Care,Laundry,HappyPaws,Pack of 2,103.44,63.04,N,Ambient,744,SUP028,Y
PRD0110,PrimePantry Biscuits 110,Snacks & Beverages,Biscuits,DailyNest,Pack of 4,154.53,120.04,N,Ambient,232,SUP034,Y
PRD0111,PrimePantry Paper & Disposables 111,Household Care,Paper & Disposables,PrimePantry,1 unit,81.38,58.77,N,Ambient,849,SUP024,Y
PRD0112,HomeEase Fresh Vegetables 112,Fruits & Vegetables,Fresh Vegetables,UrbanHarvest,250 g,56.77,32.95,Y,Ambient,7,SUP040,Y
PRD0113,HomeEase Juices 113,Snacks & Beverages,Juices,HappyPaws,1 L,123.69,91.34,N,Ambient,222,SUP031,Y
PRD0114,GoodGrain Fresh Fruits 114,Fruits & Vegetables,Fresh Fruits,QuickChoice,500 ml,35.69,20.1,Y,Ambient,6,SUP030,Y
PRD0115,QuickChoice Cooking Oil 115,Staples,Cooking Oil,HomeEase,1 kg,47.92,31.15,N,Ambient,523,SUP032,Y
PRD0116,DailyNest Baby Food 116,Baby Care,Baby Food,FreshBasket,500 g,161.43,132.3,N,Ambient,610,SUP023,Y
PRD0117,PureDrop Frozen Vegetables 117,Frozen Food,Frozen Vegetables,HomeEase,1 L,60.57,39.17,Y,Frozen,340,SUP039,Y
PRD0118,QuickChoice Breakfast Cereals 118,Dairy & Breakfast,Breakfast Cereals,GoodGrain,200 g,145.96,106.43,Y,Chilled,13,SUP015,Y
PRD0119,NovaHome Bath & Body 119,Personal Care,Bath & Body,FreshBasket,500 g,216.07,176.98,N,Ambient,779,SUP041,Y
PRD0120,PrimePantry Paper & Disposables 120,Household Care,Paper & Disposables,GoodGrain,Pack of 2,90.19,63.95,N,Ambient,374,SUP016,Y
PRD0121,CareBloom Chips & Namkeen 121,Snacks & Beverages,Chips & Namkeen,FreshBasket,250 g,554.91,423.15,N,Ambient,115,SUP020,Y
PRD0122,FreshBasket Leafy Vegetables 122,Fruits & Vegetables,Leafy Vegetables,QuickChoice,Pack of 4,34.7,24.64,Y,Ambient,8,SUP030,Y
PRD0123,PureDrop Mobile Accessories 123,Electronics & Accessories,Mobile Accessories,PrimePantry,100 g,1740.45,1108.49,N,Ambient,747,SUP001,Y
PRD0124,UrbanHarvest Baby Hygiene 124,Baby Care,Baby Hygiene,QuickChoice,1 unit,221.36,123.5,N,Ambient,668,SUP013,Y
PRD0125,SnackSquare Chips & Namkeen 125,Snacks & Beverages,Chips & Namkeen,PrimePantry,250 g,50.03,37.33,N,Ambient,257,SUP014,Y
PRD0126,PureDrop Flour 126,Staples,Flour,PureDrop,Pack of 2,130.77,99.76,N,Ambient,267,SUP046,Y
PRD0127,QuickChoice Eggs 127,Dairy & Breakfast,Eggs,CareBloom,Pack of 2,45.66,26.39,Y,Chilled,7,SUP043,Y
PRD0128,DailyNest Surface Cleaners 128,Household Care,Surface Cleaners,NovaHome,100 g,43.34,31.62,N,Ambient,521,SUP024,Y
PRD0129,CareBloom Pulses 129,Staples,Pulses,FreshBasket,Pack of 2,169.79,95.33,N,Ambient,511,SUP003,Y
PRD0130,CareBloom Fresh Fruits 130,Fruits & Vegetables,Fresh Fruits,SnackSquare,Pack of 2,228.61,185.23,Y,Ambient,8,SUP045,Y
PRD0131,QuickChoice Flour 131,Staples,Flour,SnackSquare,Pack of 2,421.98,312.25,N,Ambient,447,SUP021,Y
PRD0132,DailyNest Fresh Vegetables 132,Fruits & Vegetables,Fresh Vegetables,FreshBasket,200 g,130.15,73.86,Y,Ambient,3,SUP029,Y
PRD0133,CareBloom Pulses 133,Staples,Pulses,PureDrop,Pack of 4,734.71,543.39,N,Ambient,188,SUP035,Y
PRD0134,PrimePantry Fresh Vegetables 134,Fruits & Vegetables,Fresh Vegetables,CareBloom,1 kg,279.03,211.63,Y,Ambient,3,SUP021,Y
PRD0135,PureDrop Milk 135,Dairy & Breakfast,Milk,CareBloom,Pack of 4,69.4,55.3,Y,Chilled,7,SUP046,Y
PRD0136,NovaHome Bath & Body 136,Personal Care,Bath & Body,HappyPaws,500 ml,291.71,170.88,N,Ambient,362,SUP003,Y
PRD0137,PrimePantry Hair Care 137,Personal Care,Hair Care,UrbanHarvest,100 g,216.98,137.08,N,Ambient,675,SUP040,Y
PRD0138,QuickChoice Tea & Coffee 138,Snacks & Beverages,Tea & Coffee,DailyNest,1 unit,212.19,143.21,N,Ambient,154,SUP016,Y
PRD0139,SnackSquare Bath & Body 139,Personal Care,Bath & Body,UrbanHarvest,250 g,995.89,750.2,N,Ambient,656,SUP026,Y
PRD0140,FreshBasket Frozen Vegetables 140,Frozen Food,Frozen Vegetables,CareBloom,1 unit,221.27,149.65,Y,Frozen,171,SUP046,Y
PRD0141,QuickChoice Pet Hygiene 141,Pet Care,Pet Hygiene,CareBloom,Pack of 4,356.15,253.94,N,Ambient,631,SUP001,Y
PRD0142,UrbanHarvest Tea & Coffee 142,Snacks & Beverages,Tea & Coffee,SnackSquare,Pack of 2,150.46,101.58,N,Ambient,329,SUP047,Y
PRD0143,NovaHome Fresh Fruits 143,Fruits & Vegetables,Fresh Fruits,GoodGrain,1 unit,20.44,14.36,Y,Ambient,4,SUP037,Y
PRD0144,NovaHome Frozen Vegetables 144,Frozen Food,Frozen Vegetables,PureDrop,Pack of 2,321.58,230.04,Y,Frozen,296,SUP001,Y
PRD0145,CareBloom Paper & Disposables 145,Household Care,Paper & Disposables,FreshBasket,Pack of 4,230.77,179.98,N,Ambient,767,SUP044,Y
PRD0146,PrimePantry Baby Hygiene 146,Baby Care,Baby Hygiene,PureDrop,Pack of 2,785.59,492.18,N,Ambient,558,SUP032,Y
PRD0147,GoodGrain Fresh Fruits 147,Fruits & Vegetables,Fresh Fruits,NovaHome,500 g,192.88,145.0,Y,Ambient,5,SUP045,Y
PRD0148,PureDrop Fresh Fruits 148,Fruits & Vegetables,Fresh Fruits,CareBloom,250 g,84.58,64.25,Y,Ambient,5,SUP041,Y
PRD0149,SnackSquare Fresh Fruits 149,Fruits & Vegetables,Fresh Fruits,FreshBasket,100 g,82.42,58.43,Y,Ambient,3,SUP049,Y
PRD0150,UrbanHarvest Paper & Disposables 150,Household Care,Paper & Disposables,UrbanHarvest,1 L,490.74,382.71,N,Ambient,371,SUP046,Y
PRD0151,SnackSquare Eggs 151,Dairy & Breakfast,Eggs,FreshBasket,200 g,442.51,246.52,Y,Chilled,10,SUP016,Y
PRD0152,HappyPaws Chips & Namkeen 152,Snacks & Beverages,Chips & Namkeen,HappyPaws,500 g,142.62,81.15,N,Ambient,207,SUP002,Y
PRD0153,FreshBasket Leafy Vegetables 153,Fruits & Vegetables,Leafy Vegetables,PrimePantry,1 L,202.79,123.72,Y,Ambient,6,SUP041,Y
PRD0154,UrbanHarvest Baby Food 154,Baby Care,Baby Food,QuickChoice,500 ml,171.79,109.81,N,Ambient,601,SUP042,Y
PRD0155,UrbanHarvest Bread 155,Dairy & Breakfast,Bread,PureDrop,500 ml,25.21,19.25,Y,Chilled,18,SUP012,Y
PRD0156,FreshBasket Batteries 156,Electronics & Accessories,Batteries,UrbanHarvest,1 kg,360.32,227.39,N,Ambient,1282,SUP010,Y
PRD0157,FreshBasket Laundry 157,Household Care,Laundry,HomeEase,1 L,792.72,623.19,N,Ambient,891,SUP011,Y
PRD0158,PureDrop Bread 158,Dairy & Breakfast,Bread,SnackSquare,1 kg,64.16,41.58,Y,Chilled,8,SUP030,Y
PRD0159,HomeEase Small Appliances 159,Electronics & Accessories,Small Appliances,GoodGrain,100 g,269.47,159.58,N,Ambient,824,SUP026,Y
PRD0160,HappyPaws Dog Food 160,Pet Care,Dog Food,UrbanHarvest,1 unit,221.65,129.39,N,Ambient,557,SUP037,Y
PRD0161,QuickChoice Surface Cleaners 161,Household Care,Surface Cleaners,NovaHome,200 g,256.68,178.72,N,Ambient,579,SUP048,Y
PRD0162,UrbanHarvest Skin Care 162,Personal Care,Skin Care,PureDrop,500 ml,62.07,36.96,N,Ambient,340,SUP045,Y
PRD0163,UrbanHarvest Flour 163,Staples,Flour,PureDrop,250 g,670.51,531.86,N,Ambient,153,SUP009,Y
PRD0164,HappyPaws Skin Care 164,Personal Care,Skin Care,HomeEase,500 g,37.61,28.66,N,Ambient,494,SUP038,Y
PRD0165,PrimePantry Small Appliances 165,Electronics & Accessories,Small Appliances,QuickChoice,250 g,83.33,64.11,N,Ambient,853,SUP032,Y
PRD0166,PureDrop Fresh Fruits 166,Fruits & Vegetables,Fresh Fruits,HomeEase,Pack of 2,97.2,77.18,Y,Ambient,8,SUP049,Y
PRD0167,GoodGrain Biscuits 167,Snacks & Beverages,Biscuits,PrimePantry,1 kg,161.9,99.78,N,Ambient,90,SUP033,Y
PRD0168,SnackSquare Baby Food 168,Baby Care,Baby Food,NovaHome,Pack of 4,155.92,100.9,N,Ambient,299,SUP026,Y
PRD0169,DailyNest Paper & Disposables 169,Household Care,Paper & Disposables,QuickChoice,Pack of 4,117.62,90.98,N,Ambient,467,SUP041,Y
PRD0170,PrimePantry Hair Care 170,Personal Care,Hair Care,SnackSquare,500 g,158.5,90.47,N,Ambient,770,SUP019,Y
PRD0171,PureDrop Leafy Vegetables 171,Fruits & Vegetables,Leafy Vegetables,HappyPaws,1 unit,60.68,38.77,Y,Ambient,7,SUP017,Y
PRD0172,CareBloom Rice 172,Staples,Rice,NovaHome,1 L,75.99,60.02,N,Ambient,301,SUP028,Y
PRD0173,NovaHome Breakfast Cereals 173,Dairy & Breakfast,Breakfast Cereals,GoodGrain,250 g,251.67,166.29,Y,Chilled,24,SUP019,Y
PRD0174,SnackSquare Diapers 174,Baby Care,Diapers,DailyNest,Pack of 2,1335.56,948.79,N,Ambient,337,SUP010,Y
PRD0175,NovaHome Fresh Vegetables 175,Fruits & Vegetables,Fresh Vegetables,HappyPaws,500 ml,36.48,21.18,Y,Ambient,5,SUP014,Y
PRD0176,SnackSquare Sugar & Salt 176,Staples,Sugar & Salt,PureDrop,Pack of 2,37.4,27.68,N,Ambient,186,SUP020,Y
PRD0177,CareBloom Mobile Accessories 177,Electronics & Accessories,Mobile Accessories,SnackSquare,Pack of 4,171.51,96.55,N,Ambient,871,SUP041,Y
PRD0178,HappyPaws Diapers 178,Baby Care,Diapers,NovaHome,500 ml,133.62,77.93,N,Ambient,274,SUP041,Y
PRD0179,HappyPaws Milk 179,Dairy & Breakfast,Milk,CareBloom,500 ml,420.16,293.36,Y,Chilled,20,SUP024,Y
PRD0180,FreshBasket Fresh Fruits 180,Fruits & Vegetables,Fresh Fruits,DailyNest,1 L,22.64,13.5,Y,Ambient,3,SUP035,Y
PRD0181,GoodGrain Tea & Coffee 181,Snacks & Beverages,Tea & Coffee,HappyPaws,Pack of 4,517.08,408.75,N,Ambient,66,SUP028,Y
PRD0182,HappyPaws Juices 182,Snacks & Beverages,Juices,FreshBasket,200 g,529.18,303.6,N,Ambient,71,SUP003,Y
PRD0183,PureDrop Surface Cleaners 183,Household Care,Surface Cleaners,PrimePantry,1 kg,107.09,63.58,N,Ambient,578,SUP037,Y
PRD0184,HomeEase Leafy Vegetables 184,Fruits & Vegetables,Leafy Vegetables,DailyNest,Pack of 2,25.35,19.93,Y,Ambient,6,SUP044,Y
PRD0185,PureDrop Biscuits 185,Snacks & Beverages,Biscuits,GoodGrain,1 kg,87.69,65.12,N,Ambient,295,SUP036,Y
PRD0186,GoodGrain Dishwashing 186,Household Care,Dishwashing,HomeEase,100 g,93.14,62.56,N,Ambient,589,SUP013,Y
PRD0187,CareBloom Tea & Coffee 187,Snacks & Beverages,Tea & Coffee,QuickChoice,1 unit,235.18,139.61,N,Ambient,350,SUP039,Y
